coin,fundingRate,premium,time,datetime
BTC,-0.0000044339,-0.000535471,1758088800012,2025-09-17 06:00:00.012
BTC,0.0000015574,-0.0004875408,1758092400059,2025-09-17 07:00:00.059
BTC,0.0000050836,-0.0004593313,1758096000061,2025-09-17 08:00:00.061
BTC,0.0000043124,-0.0004655004,1758099600064,2025-09-17 09:00:00.064
BTC,0.0000125,-0.0003879104,1758103200017,2025-09-17 10:00:00.017
BTC,0.0000110081,-0.0004119349,1758106800055,2025-09-17 11:00:00.055
BTC,0.0000090989,-0.0004272086,1758110400040,2025-09-17 12:00:00.040
BTC,0.0000125,-0.0003771573,1758114000061,2025-09-17 13:00:00.061
BTC,0.0000125,-0.0003581153,1758117600016,2025-09-17 14:00:00.016
BTC,0.0000125,-0.0001680323,1758121200015,2025-09-17 15:00:00.015
BTC,0.0000125,-0.0000279344,1758124800001,2025-09-17 16:00:00.001
BTC,0.0000125,-0.0001111799,1758128400085,2025-09-17 17:00:00.085
BTC,0.0000125,0.00000535,1758132000038,2025-09-17 18:00:00.038
BTC,0.0000125,0.0002875069,1758135600017,2025-09-17 19:00:00.017
BTC,0.0000125,0.0004470816,1758139200076,2025-09-17 20:00:00.076
BTC,0.0000125,0.0003009151,1758142800089,2025-09-17 21:00:00.089
BTC,0.0000125,0.0003071621,1758146400039,2025-09-17 22:00:00.039
BTC,0.0000125,0.000279079,1758150000061,2025-09-17 23:00:00.061
BTC,0.0000125,0.0001950911,1758153600010,2025-09-18 00:00:00.010
BTC,0.0000125,0.0000815981,1758157200065,2025-09-18 01:00:00.065
BTC,0.0000125,0.0002157983,1758160800072,2025-09-18 02:00:00.072
BTC,0.0000125,0.000203724,1758164400061,2025-09-18 03:00:00.061
BTC,0.0000125,0.0003004415,1758168000067,2025-09-18 04:00:00.067
BTC,0.0000125,0.0003332787,1758171600024,2025-09-18 05:00:00.024
BTC,0.0000125,0.0003960265,1758175200022,2025-09-18 06:00:00.022
BTC,0.0000125,0.0003443246,1758178800030,2025-09-18 07:00:00.030
BTC,0.0000125,0.0002598151,1758182400017,2025-09-18 08:00:00.017
BTC,0.0000125,0.0002209345,1758186000056,2025-09-18 09:00:00.056
BTC,0.0000125,0.0002590932,1758189600033,2025-09-18 10:00:00.033
BTC,0.0000125,0.000268457,1758193200053,2025-09-18 11:00:00.053
BTC,0.0000125,0.0002517748,1758196800068,2025-09-18 12:00:00.068
BTC,0.0000125,0.0001240434,1758200400082,2025-09-18 13:00:00.082
BTC,0.0000125,0.0001751709,1758204000008,2025-09-18 14:00:00.008
BTC,0.0000125,0.0003828563,1758207600185,2025-09-18 15:00:00.185
BTC,0.0000125,0.0004112683,1758211200048,2025-09-18 16:00:00.048
BTC,0.0000125,0.0003554176,1758214800100,2025-09-18 17:00:00.100
BTC,0.0000125,0.0004534697,1758218400087,2025-09-18 18:00:00.087
BTC,0.0000125,0.0003521831,1758222000062,2025-09-18 19:00:00.062
BTC,0.0000125,0.0001654449,1758225600010,2025-09-18 20:00:00.010
BTC,0.0000125,0.0001168669,1758229200001,2025-09-18 21:00:00.001
BTC,0.0000125,0.0001092548,1758232800021,2025-09-18 22:00:00.021
BTC,0.0000125,0.0001176434,1758236400114,2025-09-18 23:00:00.114
BTC,0.0000125,0.0002820615,1758240000070,2025-09-19 00:00:00.070
BTC,0.0000125,0.0004343066,1758243600048,2025-09-19 01:00:00.048
BTC,0.0000125,0.0004933412,1758247200098,2025-09-19 02:00:00.098
BTC,0.0000125,0.0005149427,1758250800047,2025-09-19 03:00:00.047
BTC,0.0000125,0.000445173,1758254400064,2025-09-19 04:00:00.064
BTC,0.0000125,0.000333351,1758258000018,2025-09-19 05:00:00.018
BTC,0.0000125,0.0003389955,1758261600076,2025-09-19 06:00:00.076
